t,x,y,z
4.346246,-0.514348,-0.085521,-0.469145
4.355654,-0.395841,-0.065973,-0.433714
4.365095,-0.25412,-0.042761,-0.448375
4.374526,-0.108734,-0.030543,-0.471588
4.383919,0.023213,-0.036652,-0.459371
4.393349,0.177151,-0.067195,-0.399506
4.402844,0.362854,-0.107512,-0.327424
4.412258,0.552222,-0.120951,-0.256563
4.421645,0.690278,-0.138056,-0.161268
4.431192,0.733038,-0.129503,-0.015882
4.440516,0.703717,-0.123395,0.166155
4.449938,0.616974,-0.117286,0.351858
4.459411,0.524122,-0.128282,0.522901
4.468776,0.41661,-0.18326,0.618196
4.478243,0.26145,-0.288328,0.647517
4.487627,0.046426,-0.386067,0.619417
4.497039,-0.168599,-0.475253,0.541227
4.506492,-0.309098,-0.504575,0.405615
4.515941,-0.333532,-0.458149,0.235794
4.525353,-0.26145,-0.340863,0.030543
4.534765,-0.13439,-0.140499,-0.168599
4.54421,0.029322,0.06353,-0.304211
4.553639,0.265116,0.213803,-0.356745
4.563036,0.577879,0.31032,-0.36041
4.572758,0.902859,0.354302,-0.355524
4.581936,1.117883,0.365297,-0.322537
4.591337,1.160644,0.331089,-0.244346
4.60078,0.99571,0.288328,-0.105069
4.61019,0.654848,0.237016,0.096517
4.61966,0.182038,0.171042,0.31032
4.629077,-0.335976,0.078191,0.483805
4.638498,-0.768468,-0.046426,0.596204
4.647903,-1.034806,-0.19792,0.626748
4.657353,-1.121549,-0.365297,0.554666
4.666767,-1.08734,-0.467923,0.395841
4.676197,-0.965167,-0.458149,0.169821
4.685633,-0.753808,-0.375071,-0.09896
4.695053,-0.464258,-0.268781,-0.355524
4.70449,-0.167377,-0.138056,-0.530231
4.71393,0.116064,0.003665,-0.636522
4.723319,0.351858,0.136834,-0.679282
4.732968,0.546114,0.259007,-0.652404
4.742193,0.707382,0.342085,-0.565661
4.751612,0.85399,0.375071,-0.438601
4.761045,0.982271,0.346971,-0.283441
4.770492,1.067792,0.305433,-0.114843
4.779922,1.075123,0.248011,0.069639
4.789342,0.998154,0.195477,0.234572
4.798795,0.874759,0.161268,0.354302
4.808186,0.729373,0.133169,0.401949
4.817623,0.561996,0.117286,0.414167
4.827032,0.37385,0.118508,0.397062
4.836455,0.175929,0.15516,0.354302
4.845879,0.004887,0.188146,0.29688
4.855326,-0.105069,0.182038,0.257785
4.86476,-0.150273,0.123395,0.238237
4.874177,-0.11973,0.043982,0.222355
4.883624,-0.023213,-0.029322,0.169821
4.893032,0.107512,-0.081856,0.108734
4.902463,0.207694,-0.074526,0.089186
4.911891,0.263894,-0.036652,0.076969
4.921346,0.290772,0.029322,0.03543
4.930759,0.288328,0.138056,-0.002443
4.9402,0.268781,0.205251,-0.032987
4.949604,0.243124,0.234572,-0.037874
4.959034,0.172264,0.212581,-0.024435
4.968462,0.043982,0.193033,-0.006109
4.977908,-0.157603,0.164934,0.002443
4.987317,-0.403171,0.108734,0.043982
4.996762,-0.603535,0.058643,0.125838
5.006174,-0.72693,0.021991,0.239459
5.015593,-0.772134,0.012217,0.389732
5.025026,-0.777021,0.025656,0.542448
5.03474,-0.763582,0.03543,0.665843
5.043862,-0.720821,-0.043982,0.757473
5.053317,-0.651182,-0.276111,0.823446
5.062739,-0.540005,-0.509462,0.807564
5.072221,-0.393397,-0.57177,0.572992
5.081616,-0.25412,-0.412945,0.124617
5.091028,-0.204029,-0.076969,-0.384845
5.100429,-0.268781,0.280998,-0.742812
5.109881,-0.41661,0.565661,-0.824668
5.119355,-0.553444,0.680504,-0.685391
5.128711,-0.627969,0.636522,-0.38118
5.138166,-0.636522,0.438601,0.013439
5.14758,-0.618196,0.139277,0.408058
5.156997,-0.580322,-0.139277,0.713491
5.166435,-0.510683,-0.323759,0.816116
5.175927,-0.433714,-0.379958,0.745256
5.185291,-0.386067,-0.313985,0.585209
5.194723,-0.415388,-0.234572,0.417832
5.204146,-0.526566,-0.164934,0.302989
5.21357,-0.652404,-0.112399,0.200364
5.222992,-0.740369,-0.0281,0.090408
5.232462,-0.717156,0.090408,0.024435
5.241907,-0.541227,0.171042,0.017104
5.251334,-0.205251,0.200364,0.068417
5.260737,0.224798,0.18326,0.138056
5.27015,0.620639,0.101404,0.215025
5.27958,0.901637,0.017104,0.233351
5.289003,1.04458,-0.032987,0.169821
5.298439,1.038471,-0.06353,0.045204
5.307875,0.877202,-0.061087,-0.106291
5.31728,0.594983,-0.029322,-0.273668
5.326717,0.235794,0.03543,-0.415388
5.336287,-0.125838,0.076969,-0.486249
5.345578,-0.425162,0.079412,-0.522901
5.354996,-0.591318,0.03543,-0.527788
5.364435,-0.634078,-0.043982,-0.537561
5.373872,-0.593761,-0.112399,-0.557109
5.383307,-0.476475,-0.149051,-0.618196
5.39274,-0.295659,-0.163712,-0.723264
5.402153,-0.072082,-0.141721,-0.838107
5.411564,0.128282,-0.105069,-0.941954
5.420992,0.240681,-0.025656,-1.022588
5.430417,0.265116,0.075747,-1.05191
5.43988,0.251676,0.125838,-1.018923
5.449264,0.24679,0.130725,-0.91752
5.458707,0.305433,0.084299,-0.763582
5.468133,0.417832,0.020769,-0.582765
5.477587,0.5791,-0.037874,-0.41661
5.486997,0.729373,-0.116064,-0.318872
5.496681,0.817338,-0.171042,-0.283441
5.50586,0.781907,-0.223577,-0.283441
5.515284,0.608422,-0.267559,-0.278555
5.524756,0.343306,-0.251676,-0.223577
5.534167,0.047647,-0.216246,-0.131947
5.543562,-0.186925,-0.194255,-0.018326
5.553019,-0.288328,-0.200364,0.069639
5.562416,-0.262672,-0.265116,0.081856
5.571848,-0.166155,-0.366519,0.010996
5.581277,-0.034208,-0.436158,-0.138056
5.5907,0.065973,-0.410501,-0.362854
5.600133,0.101404,-0.285885,-0.575435
5.60955,0.072082,-0.130725,-0.679282
5.618986,0.031765,0.030543,-0.616974
5.62844,0.019548,0.105069,-0.430049
5.638107,0.073304,0.089186,-0.173486
5.647274,0.212581,0.037874,0.046426
5.656704,0.398284,0.014661,0.156382
5.666171,0.551001,0.054978,0.164934
5.675552,0.610865,0.122173,0.141721
5.684971,0.537561,0.175929,0.138056
5.694422,0.295659,0.166155,0.19792
5.703814,-0.084299,0.101404,0.344528
5.713295,-0.518014,-0.034208,0.54367
5.722681,-0.856433,-0.217468,0.753808
5.732135,-1.011593,-0.365297,0.901637
5.741561,-0.96028,-0.410501,0.928515
5.750988,-0.772134,-0.386067,0.842994
5.760406,-0.509462,-0.309098,0.715934
5.769837,-0.222355,-0.194255,0.557109
5.779419,0.074526,-0.095295,0.371406
5.788699,0.318872,0.039095,0.163712
5.798106,0.443488,0.201586,-0.057421
5.807542,0.430049,0.364076,-0.243124
5.816985,0.322537,0.509462,-0.320093
5.82643,0.22602,0.598648,-0.273668
5.835822,0.216246,0.624304,-0.173486
5.845245,0.28955,0.577879,-0.017104
5.854697,0.411723,0.460592,0.171042
5.86411,0.527788,0.31765,0.335976
5.873552,0.57177,0.211359,0.397062
5.882974,0.546114,0.164934,0.356745
5.892397,0.454484,0.172264,0.24679
5.901818,0.329867,0.212581,0.107512
5.911219,0.196699,0.267559,-0.048869
5.920686,0.083078,0.350637,-0.194255
5.930116,-0.030543,0.420275,-0.293215
5.939846,-0.136834,0.441045,-0.31032
5.948968,-0.213803,0.368963,-0.217468
5.958408,-0.24679,0.205251,-0.075747
5.967812,-0.232129,-0.010996,0.053756
5.977242,-0.201586,-0.202807,0.097738
5.98668,-0.219911,-0.339641,0.047647
5.996132,-0.321315,-0.379958,-0.018326
6.005555,-0.464258,-0.35308,-0.047647
6.014946,-0.6072,-0.288328,-0.024435
6.024374,-0.69883,-0.255342,0.072082
6.033805,-0.72693,-0.263894,0.256563
6.043263,-0.682947,-0.318872,0.461814
6.052682,-0.593761,-0.426384,0.629191
6.062768,-0.503353,-0.537561,0.755029
6.071544,-0.456927,-0.646295,0.819781
6.080955,-0.445932,-0.76969,0.813673
6.090372,-0.454484,-0.814894,0.717156
6.099954,-0.513127,-0.745256,0.544892
6.109549,-0.638965,-0.568105,0.357967
